epi_week,state,from_date,to_date,difference
189701,UT,1897-01-03,1897-01-09,7
189701,UT,1897-01-03,1897-01-09,7
189701,VA,1897-01-03,1897-01-09,7
189701,VA,1897-01-04,1897-01-10,7
189701,WA,1897-01-03,1897-01-09,7
189701,WA,1897-01-03,1897-01-09,7
189701,WI,1897-01-03,1897-01-09,7
189701,WI,1897-01-03,1897-01-09,7
189702,AL,1897-01-10,1897-01-16,7
189702,AL,1897-01-10,1897-01-16,7
189702,CA,1897-01-10,1897-01-16,7
189702,CA,1897-01-10,1897-01-16,7
189702,CA,1897-01-10,1897-01-16,7
189702,CA,1897-01-10,1897-01-16,7
189702,CA,1897-01-10,1897-01-16,7
189702,CO,1897-01-10,1897-01-16,7
189702,CO,1897-01-10,1897-01-16,7
189702,CO,1897-01-10,1897-01-16,7
189702,CO,1897-01-10,1897-01-16,7
189702,CO,1897-01-10,1897-01-16,7
189702,CT,1897-01-08,1897-01-14,7
189702,CT,1897-01-08,1897-01-14,7
189702,DC,1897-01-10,1897-01-16,7
189702,DC,1897-01-10,1897-01-16,7
189702,DC,1897-01-10,1897-01-16,7
189702,DC,1897-01-10,1897-01-16,7
189702,DE,1897-01-10,1897-01-16,7
189702,DE,1897-01-10,1897-01-16,7
189702,FL,1897-01-10,1897-01-16,7
189702,IL,1897-01-10,1897-01-16,7
189702,IL,1897-01-10,1897-01-16,7
189702,IL,1897-01-10,1897-01-16,7
189702,IL,1897-01-10,1897-01-16,7
189702,IL,1897-01-10,1897-01-16,7
189702,IN,1897-01-10,1897-01-16,7
189702,LA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-09,1897-01-15,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-10,1897-01-16,7
189702,MA,1897-01-09,1897-01-15,7
189702,MA,1897-01-09,1897-01-15,7
189702,MA,1897-01-09,1897-01-15,7
189702,MA,1897-01-09,1897-01-15,7
189702,MA,1897-01-10,1897-01-16,7
189702,MD,1897-01-10,1897-01-16,7
189702,MD,1897-01-10,1897-01-16,7
189702,MD,1897-01-10,1897-01-16,7
189702,MD,1897-01-10,1897-01-16,7
189702,ME,1897-01-10,1897-01-16,7
189702,ME,1897-01-10,1897-01-16,7
189702,MI,1897-01-10,1897-01-16,7
189702,MI,1897-01-10,1897-01-16,7
189702,MI,1897-01-10,1897-01-16,7
189702,MI,1897-01-10,1897-01-16,7
189702,MN,1897-01-10,1897-01-16,7
189702,MN,1897-01-10,1897-01-16,7
189702,MN,1897-01-10,1897-01-16,7
189702,MO,1897-01-10,1897-01-16,7
189702,MO,1897-01-10,1897-01-16,7
189702,MO,1897-01-10,1897-01-16,7
189702,NE,1897-01-10,1897-01-16,7
189702,NH,1897-01-10,1897-01-16,7
189702,NH,1897-01-10,1897-01-16,7
189702,NH,1897-01-10,1897-01-16,7
189702,NJ,1897-01-10,1897-01-16,7
189702,NJ,1897-01-11,1897-01-17,7
189702,NJ,1897-01-11,1897-01-17,7
189702,NJ,1897-01-11,1897-01-17,7
189702,NY,1897-01-10,1897-01-16,7
189702,NY,1897-01-10,1897-01-16,7
189702,NY,1897-01-10,1897-01-16,7
189702,NY,1897-01-10,1897-01-16,7
189702,NY,1897-01-10,1897-01-16,7
189702,NY,1897-01-10,1897-01-16,7
189702,NY,1897-01-10,1897-01-16,7
189702,NY,1897-01-10,1897-01-16,7
189702,NY,1897-01-10,1897-01-16,7
189702,NY,1897-01-10,1897-01-16,7
189702,NY,1897-01-10,1897-01-16,7
189702,NY,1897-01-10,1897-01-16,7
189702,NY,1897-01-10,1897-01-16,7
189702,NY,1897-01-10,1897-01-16,7
189702,OH,1897-01-09,1897-01-15,7
189702,OH,1897-01-09,1897-01-15,7
189702,OH,1897-01-09,1897-01-15,7
189702,OH,1897-01-09,1897-01-15,7
189702,OH,1897-01-09,1897-01-15,7
189702,OH,1897-01-10,1897-01-16,7
189702,OH,1897-01-10,1897-01-16,7
189702,OH,1897-01-10,1897-01-16,7
189702,OH,1897-01-10,1897-01-16,7
189702,OH,1897-01-10,1897-01-16,7
189702,OH,1897-01-08,1897-01-14,7
189702,OH,1897-01-08,1897-01-14,7
189702,OH,1897-01-10,1897-01-16,7
189702,OH,1897-01-10,1897-01-16,7
189702,OH,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,PA,1897-01-10,1897-01-16,7
189702,RI,1897-01-10,1897-01-16,7
189702,SC,1897-01-10,1897-01-16,7
189702,TN,1897-01-10,1897-01-16,7
189702,TN,1897-01-10,1897-01-16,7
189702,TN,1897-01-10,1897-01-16,7
189702,TX,1897-01-09,1897-01-15,7
189702,TX,1897-01-09,1897-01-15,7
189702,VA,1897-01-10,1897-01-16,7
189702,VA,1897-01-10,1897-01-16,7
189702,VA,1897-01-11,1897-01-17,7
189702,WA,1897-01-10,1897-01-16,7
189702,WA,1897-01-10,1897-01-16,7
189702,WI,1897-01-10,1897-01-16,7
189702,WI,1897-01-10,1897-01-16,7
189702,WI,1897-01-10,1897-01-16,7
189703,CO,1897-01-17,1897-01-23,7
189703,CO,1897-01-17,1897-01-23,7
189703,CO,1897-01-17,1897-01-23,7
189703,CO,1897-01-17,1897-01-23,7
189703,CT,1897-01-15,1897-01-21,7
189703,CT,1897-01-15,1897-01-21,7
189703,DC,1897-01-17,1897-01-23,7
189703,DC,1897-01-17,1897-01-23,7
189703,DE,1897-01-17,1897-01-23,7
189703,FL,1897-01-17,1897-01-23,7
189703,FL,1897-01-18,1897-01-24,7
189703,IL,1897-01-17,1897-01-23,7
189703,IL,1897-01-17,1897-01-23,7
189703,IL,1897-01-17,1897-01-23,7
189703,IL,1897-01-17,1897-01-23,7
189703,IL,1897-01-17,1897-01-23,7
189703,IN,1897-01-17,1897-01-23,7
189703,LA,1897-01-17,1897-01-23,7
189703,LA,1897-01-17,1897-01-23,7
189703,MA,1897-01-17,1897-01-23,7
189703,MA,1897-01-17,1897-01-23,7
189703,MA,1897-01-17,1897-01-23,7
189703,MA,1897-01-17,1897-01-23,7
189703,MA,1897-01-17,1897-01-23,7
189703,MA,1897-01-17,1897-01-23,7
189703,MA,1897-01-17,1897-01-23,7
189703,MA,1897-01-17,1897-01-23,7
189703,MA,1897-01-17,1897-01-23,7
189703,MA,1897-01-17,1897-01-23,7
189703,MA,1897-01-17,1897-01-23,7
189703,MA,1897-01-17,1897-01-23,7
189703,MA,1897-01-17,1897-01-23,7
189703,MA,1897-01-17,1897-01-23,7
189703,MA,1897-01-17,1897-01-23,7
189703,MA,1897-01-17,1897-01-23,7
189703,MA,1897-01-17,1897-01-23,7
189703,MA,1897-01-17,1897-01-23,7
189703,MA,1897-01-17,1897-01-23,7
189703,MA,1897-01-17,1897-01-23,7
189703,MA,1897-01-16,1897-01-22,7
189703,MA,1897-01-16,1897-01-22,7
189703,MA,1897-01-14,1897-01-20,7
189703,MD,1897-01-17,1897-01-23,7
189703,MD,1897-01-17,1897-01-23,7
189703,MD,1897-01-17,1897-01-23,7
189703,MD,1897-01-17,1897-01-23,7
189703,MD,1897-01-17,1897-01-23,7
189703,MI,1897-01-17,1897-01-23,7
189703,MN,1897-01-17,1897-01-23,7
189703,MN,1897-01-17,1897-01-23,7
189703,MN,1897-01-17,1897-01-23,7
189703,MN,1897-01-17,1897-01-23,7
189703,MO,1897-01-17,1897-01-23,7
189703,MO,1897-01-17,1897-01-23,7
189703,MO,1897-01-17,1897-01-23,7
189703,MO,1897-01-17,1897-01-23,7
189703,MO,1897-01-17,1897-01-23,7
189703,NE,1897-01-17,1897-01-23,7
189703,NH,1897-01-17,1897-01-23,7
189703,NJ,1897-01-17,1897-01-23,7
189703,NJ,1897-01-18,1897-01-24,7
189703,NJ,1897-01-18,1897-01-24,7
189703,NY,1897-01-17,1897-01-23,7
189703,NY,1897-01-17,1897-01-23,7
189703,NY,1897-01-17,1897-01-23,7
189703,NY,1897-01-17,1897-01-23,7
189703,NY,1897-01-17,1897-01-23,7
189703,NY,1897-01-17,1897-01-23,7
189703,NY,1897-01-17,1897-01-23,7
189703,NY,1897-01-17,1897-01-23,7
189703,NY,1897-01-17,1897-01-23,7
189703,NY,1897-01-17,1897-01-23,7
189703,NY,1897-01-17,1897-01-23,7
189703,NY,1897-01-17,1897-01-23,7
189703,NY,1897-01-17,1897-01-23,7
189703,NY,1897-01-16,1897-01-22,7
189703,NY,1897-01-17,1897-01-23,7
189703,NY,1897-01-17,1897-01-23,7
189703,NY,1897-01-17,1897-01-23,7
189703,OH,1897-01-16,1897-01-22,7
189703,OH,1897-01-16,1897-01-22,7
189703,OH,1897-01-16,1897-01-22,7
189703,OH,1897-01-16,1897-01-22,7
189703,OH,1897-01-17,1897-01-23,7
189703,OH,1897-01-17,1897-01-23,7
189703,OH,1897-01-17,1897-01-23,7
189703,OH,1897-01-17,1897-01-23,7
189703,OH,1897-01-17,1897-01-23,7
189703,OH,1897-01-17,1897-01-23,7
189703,PA,1897-01-17,1897-01-23,7
189703,PA,1897-01-17,1897-01-23,7
189703,PA,1897-01-17,1897-01-23,7
189703,PA,1897-01-17,1897-01-23,7
189703,PA,1897-01-17,1897-01-23,7
189703,PA,1897-01-17,1897-01-23,7
189703,PA,1897-01-17,1897-01-23,7
189703,PA,1897-01-17,1897-01-23,7
189703,PA,1897-01-17,1897-01-23,7
189703,PA,1897-01-17,1897-01-23,7
189703,PA,1897-01-17,1897-01-23,7
189703,PA,1897-01-17,1897-01-23,7
189703,PA,1897-01-17,1897-01-23,7
189703,RI,1897-01-17,1897-01-23,7
189703,RI,1897-01-17,1897-01-23,7
189703,RI,1897-01-17,1897-01-23,7
189703,RI,1897-01-17,1897-01-23,7
189703,SC,1897-01-17,1897-01-23,7
189703,SC,1897-01-17,1897-01-23,7
189703,SC,1897-01-17,1897-01-23,7
189703,TN,1897-01-17,1897-01-23,7
189703,TN,1897-01-17,1897-01-23,7
189703,TN,1897-01-17,1897-01-23,7
189703,TX,1897-01-16,1897-01-22,7
189703,UT,1897-01-17,1897-01-23,7
189703,VA,1897-01-17,1897-01-23,7
189703,VA,1897-01-17,1897-01-23,7
189703,WI,1897-01-17,1897-01-23,7
189703,WI,1897-01-17,1897-01-23,7
189703,WI,1897-01-17,1897-01-23,7
189704,AL,1897-01-24,1897-01-30,7
189704,CA,1897-01-24,1897-01-30,7
189704,CA,1897-01-24,1897-01-30,7
189704,CO,1897-01-24,1897-01-30,7
189704,CO,1897-01-24,1897-01-30,7
189704,CO,1897-01-24,1897-01-30,7
189704,CO,1897-01-24,1897-01-30,7
189704,CT,1897-01-22,1897-01-28,7
189704,CT,1897-01-22,1897-01-28,7
189704,CT,1897-01-22,1897-01-28,7
189704,DC,1897-01-24,1897-01-30,7
189704,DC,1897-01-24,1897-01-30,7
189704,DC,1897-01-24,1897-01-30,7
189704,DC,1897-01-24,1897-01-30,7
189704,FL,1897-01-25,1897-01-31,7
189704,FL,1897-01-25,1897-01-31,7
189704,IL,1897-01-24,1897-01-30,7
189704,IL,1897-01-24,1897-01-30,7
189704,IL,1897-01-24,1897-01-30,7
189704,IL,1897-01-24,1897-01-30,7
189704,IL,1897-01-24,1897-01-30,7
189704,LA,1897-01-24,1897-01-30,7
189704,LA,1897-01-24,1897-01-30,7
189704,LA,1897-01-24,1897-01-30,7
189704,MA,1897-01-24,1897-01-30,7
189704,MA,1897-01-24,1897-01-30,7
189704,MA,1897-01-24,1897-01-30,7
189704,MA,1897-01-24,1897-01-30,7
189704,MA,1897-01-24,1897-01-30,7
189704,MA,1897-01-24,1897-01-30,7
189704,MA,1897-01-24,1897-01-30,7
189704,MA,1897-01-24,1897-01-30,7
189704,MA,1897-01-24,1897-01-30,7
189704,MA,1897-01-24,1897-01-30,7
189704,MA,1897-01-24,1897-01-30,7
189704,MA,1897-01-24,1897-01-30,7
189704,MA,1897-01-24,1897-01-30,7
189704,MA,1897-01-24,1897-01-30,7
189704,MA,1897-01-24,1897-01-30,7
189704,MA,1897-01-23,1897-01-29,7
189704,MA,1897-01-24,1897-01-30,7
189704,MA,1897-01-23,1897-01-29,7
189704,MA,1897-01-23,1897-01-29,7
189704,MA,1897-01-24,1897-01-30,7
189704,MA,1897-01-24,1897-01-30,7
189704,MD,1897-01-24,1897-01-30,7
189704,MD,1897-01-24,1897-01-30,7
189704,MD,1897-01-24,1897-01-30,7
189704,MD,1897-01-24,1897-01-30,7
189704,MI,1897-01-24,1897-01-30,7
189704,MI,1897-01-24,1897-01-30,7
189704,MI,1897-01-24,1897-01-30,7
189704,MI,1897-01-24,1897-01-30,7
189704,MI,1897-01-24,1897-01-30,7
189704,MN,1897-01-24,1897-01-30,7
189704,MN,1897-01-24,1897-01-30,7
189704,MO,1897-01-24,1897-01-30,7
189704,MO,1897-01-24,1897-01-30,7
189704,MO,1897-01-24,1897-01-30,7
189704,NE,1897-01-24,1897-01-30,7
189704,NE,1897-01-24,1897-01-30,7
189704,NE,1897-01-24,1897-01-30,7
189704,NH,1897-01-24,1897-01-30,7
189704,NJ,1897-01-24,1897-01-30,7
189704,NJ,1897-01-24,1897-01-30,7
189704,NJ,1897-01-25,1897-01-31,7
189704,NJ,1897-01-25,1897-01-31,7
189704,NJ,1897-01-25,1897-01-31,7
189704,NJ,1897-01-25,1897-01-31,7
189704,NY,1897-01-24,1897-01-30,7
189704,NY,1897-01-24,1897-01-30,7
189704,NY,1897-01-24,1897-01-30,7
189704,NY,1897-01-24,1897-01-30,7
189704,NY,1897-01-24,1897-01-30,7
189704,NY,1897-01-24,1897-01-30,7
189704,NY,1897-01-24,1897-01-30,7
189704,NY,1897-01-24,1897-01-30,7
189704,NY,1897-01-24,1897-01-30,7
189704,NY,1897-01-24,1897-01-30,7
189704,NY,1897-01-24,1897-01-30,7
189704,NY,1897-01-24,1897-01-30,7
189704,NY,1897-01-24,1897-01-30,7
189704,NY,1897-01-23,1897-01-29,7
189704,NY,1897-01-24,1897-01-30,7
189704,NY,1897-01-24,1897-01-30,7
189704,NY,1897-01-24,1897-01-30,7
189704,NY,1897-01-24,1897-01-30,7
189704,OH,1897-01-23,1897-01-29,7
189704,OH,1897-01-23,1897-01-29,7
189704,OH,1897-01-23,1897-01-29,7
189704,OH,1897-01-24,1897-01-30,7
189704,OH,1897-01-24,1897-01-30,7
189704,OH,1897-01-22,1897-01-28,7
189704,OH,1897-01-22,1897-01-28,7
189704,OH,1897-01-22,1897-01-28,7
189704,OH,1897-01-27,1897-02-02,7
189704,OH,1897-01-27,1897-02-02,7
189704,OH,1897-01-27,1897-02-02,7
189704,OH,1897-01-27,1897-02-02,7
